Feature,Importance,Std
C_G,0.05598321928967098,0.01069150310553959
ratio_C_G_B_G,0.046483847693525204,0.005092398806992151
other_inf,0.021426825862309828,0.003251426884784866
B_PCT,0.020784457478005957,0.003504938304971582
tube,0.017920565097984554,0.00257750977257227
C_RBC,0.014020388213936696,0.005672003638888732
B_G,0.013995950286272952,0.002317050567413603
GCS,0.011108783689428914,0.002195610902176331
B_AC,0.007715984732113856,0.0011046627447206774
diff_C_N_B_N,0.007137038588651568,0.0018210442421025
site,0.0067047200111717276,0.00166810967476671
B_CRP,0.006094935530419477,0.0016665404794605407
tem,0.005765023506959066,0.0019712378884924387
B_Lym,0.005293138760880778,0.0016593064952721804
B_N,0.005212842712842769,0.0011709280515523738
sex,0.004148047293208679,0.0012043998213421329
C_WBC,0.0038495554624587867,0.0008948482373352052
C_N,0.0031431829818927117,0.0012666921677904148
transparency,0.0028336358981521535,0.000778391211041368
B_WBC,0.002421682260392033,0.0006966138726453454
ratio_WBC_RBC_diff,0.0024100451519807665,0.0011862341128285375
corrected_WBC,0.0017362565749663218,0.0006944448710245318
C_P,0.0016769073220686437,0.0009247833673050455
B_RBC,0.0010479216124377854,0.000461741413227639
