,age,C_G,C_WBC,C_RBC,C_P,C_N,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff,sex,tube,site,other_inf,transparency
age,0.062271774,0.083885625,0.0,0.06238673,0.020834353,0.020808954,0.0,0.041564316,0.06279019,0.020769365,0.062312346,0.04159028,0.08320083,0.0,0.04180613,0.06257864,0.020823179,0.041590612,0.04152309,0.041558623,0.041642778,0.04158715,0.0,0.08356666,0.020908374
C_G,0.019890985,0.02378169,0.038071908,0.04019808,0.019381726,0.020058654,0.056976676,0.020013928,0.08049951,0.040701937,0.039824244,0.04172287,0.05504833,0.018540995,0.040977046,0.060571417,0.043045804,0.058184374,0.077655375,0.057848603,0.021958558,0.022092577,0.0426812,0.041563682,0.018709814
C_WBC,0.040532693,0.048644118,0.02053888,0.041438866,0.06106972,0.02008938,0.03999824,0.020381104,0.0453678,0.061719734,0.060385786,0.020490415,0.04430704,0.020103853,0.042158417,0.061974064,0.0,0.060768142,0.04060706,0.040860537,0.021577826,0.04239081,0.040327784,0.062541336,0.041726433
C_RBC,0.04082112,0.06590589,0.04166749,0.041244667,0.041063704,0.04131461,0.020737356,0.061785538,0.06560327,0.041238345,0.020391958,0.020931162,0.041223347,0.062167756,0.04283826,0.0,0.02071875,0.041049756,0.041186124,0.061460197,0.06267613,0.021426484,0.06178052,0.020395346,0.020372216
C_P,0.041541554,0.04180038,0.02077176,0.062499285,0.041608967,0.02081765,0.041519202,0.020776292,0.06297287,0.06263017,0.06226009,0.020805508,0.020862741,0.06235614,0.06263837,0.020847157,0.041709688,0.062336177,0.020779947,0.041507185,0.020921944,0.02097227,0.04183527,0.04159591,0.041633435
C_N,0.04130112,0.04432191,0.020857463,0.062249064,0.02078104,0.04151718,0.0415148,0.04145649,0.06360976,0.062088005,0.04129125,0.041537523,0.041648492,0.041213714,0.06266263,0.041115426,0.041612826,0.020553516,0.020926744,0.041357316,0.020704355,0.041798435,0.020926567,0.041415475,0.04153893
GCS,0.04149823,0.021168668,0.062555954,0.06286539,0.041619107,0.041255593,0.041532066,0.04147193,0.042016946,0.06226065,0.062245756,0.04144922,0.041892685,0.041337643,0.04293403,0.0,0.06261114,0.0,0.062170878,0.041559316,0.04173539,0.04154999,0.0,0.020520039,0.04174938
tem,0.04146611,0.020809062,0.06240586,0.062990375,0.041614413,0.020879712,0.04150083,0.020723965,0.020831183,0.062566,0.08297542,0.020755742,0.021119298,0.041448347,0.041940868,0.020821718,0.020918641,0.08302634,0.0,0.041532055,0.041776452,0.062366024,0.042186826,0.020808358,0.06253645
B_G,0.019953888,0.047497988,0.06371926,0.06539762,0.02021452,0.03937187,0.0,0.03935641,0.05520217,0.082810394,0.039998844,0.04222079,0.0,0.059888504,0.03951786,0.040077835,0.08344569,0.0,0.060035788,0.0200001,0.08247425,0.0,0.040004224,0.019904692,0.038907364
B_CRP,0.020300878,0.0681742,0.063134074,0.04155302,0.020340232,0.060999,0.040749468,0.0,0.04471729,0.02020195,0.020404117,0.061401755,0.042869993,0.020503618,0.021409037,0.062218565,0.0608943,0.020323245,0.08249563,0.04081922,0.041945152,0.02074543,0.021715429,0.060939852,0.041144576
B_WBC,0.020810649,0.062858745,0.020886216,0.041675348,0.020792749,0.041574858,0.062379852,0.0,0.06267452,0.062466927,0.0,0.04171214,0.06258264,0.020782843,0.04168675,0.062469594,0.020790806,0.04160487,0.041644998,0.062380232,0.02084088,0.06247616,0.0624025,0.02088108,0.041624695
B_N,0.040014703,0.06557931,0.02044652,0.019756055,0.08026379,0.0,0.059947122,0.020375658,0.068168715,0.0,0.05970756,0.020202974,0.0898723,0.02041044,0.0622663,0.063195944,0.0,0.040619023,0.019810798,0.040198706,0.04192433,0.04231306,0.061391857,0.021915065,0.041619755
