,age,C_G,C_WBC,C_RBC,C_P,C_N,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff,sex,tube,site,other_inf,transparency
age,0.0063697863,0.035274755,0.04562506,0.09018396,0.012183256,0.028962057,0.023016071,0.09582053,0.020362996,0.07088924,0.040160567,0.06555219,0.037864253,0.016617134,0.031922635,0.02270018,0.06710413,0.067023404,0.031007867,0.026427478,0.05200914,0.0410138,0.0,0.060670316,0.011239194
C_G,0.025495358,0.031331725,0.04185482,0.0281682,0.06489371,0.04258021,0.047681186,0.027023831,0.024740398,0.04037808,0.07856846,0.045902524,0.040587053,0.06986452,0.01423521,0.09922229,0.0046863374,0.019122215,0.03889426,0.043043204,0.09013464,0.018770415,0.008262272,0.03466855,0.01989051
C_WBC,0.14923239,0.015742252,0.009251825,0.03889354,0.03546022,0.026394572,0.055475887,0.050740846,0.023137756,0.020331906,0.10004184,0.048819486,0.068797745,0.005879349,0.0376644,0.0062547075,0.03016447,0.02984141,0.03587268,0.020990338,0.08130588,0.011960162,0.032997902,0.013070261,0.051678218
C_RBC,0.026014611,0.029320858,0.05880754,0.02669738,0.11529923,0.00818944,0.004409729,0.02114893,0.040335633,0.04444099,0.072644085,0.07837317,0.019556034,0.0064890124,0.026232827,0.02118629,0.045053117,0.04095188,0.021802995,0.029033318,0.070175916,0.031639837,0.0048608435,0.15075997,0.006576395
C_P,0.05063657,0.0058518075,0.032020204,0.07089642,0.0039213886,0.0075640674,0.03629655,0.051297985,0.0154327825,0.042320386,0.01764474,0.020535745,0.021658536,0.041404467,0.03507501,0.028843576,0.032750424,0.041996405,0.05963552,0.024572426,0.0061023613,0.022609852,0.06114558,0.21857503,0.051212184
C_N,0.01571861,0.032068633,0.012493029,0.119992554,0.011285564,0.0090848645,0.011796039,0.0533266,0.008452821,0.08224608,0.04584668,0.05768001,0.033025198,0.033723623,0.004554611,0.027478274,0.09673519,0.038550723,0.055257153,0.019236099,0.075503364,0.010655121,0.040665057,0.08566369,0.01896042
GCS,0.0,0.04896579,0.05186072,0.01120619,0.04269403,0.070346385,0.059704192,0.050660774,0.01970711,0.08014606,0.016818708,0.044789515,0.0040323157,0.013963589,0.036295444,0.030580416,0.02822604,0.051359557,0.0651682,0.044885464,0.008849321,0.056802727,0.029876787,0.100531735,0.03252892
tem,0.086266845,0.043344237,0.012409753,0.10540691,0.045055017,0.013121508,0.023586635,0.036540918,0.06899047,0.0020075492,0.025646474,0.017694429,0.073387116,0.03980085,0.045768898,0.02306318,0.027701236,0.009911122,0.046230294,0.04236866,0.042330295,0.04663505,0.03466907,0.022967886,0.06509563
B_G,0.025141299,0.042212468,0.0,0.012261627,0.04447742,0.078721814,0.07400265,0.030460203,0.018484851,0.057393834,0.03644732,0.08223745,0.017278416,0.04589579,0.040698223,0.0,0.026511695,0.047413696,0.017709062,0.031702507,0.05841495,0.059390657,0.009091815,0.033878177,0.110174075
B_CRP,0.017414603,0.014527783,0.011723235,0.043584418,0.015398278,0.029426187,0.028812671,0.055923384,0.019202542,0.080425665,0.040258497,0.043878637,0.045818534,0.067057855,0.019405609,0.029373989,0.08006114,0.05076739,0.111891285,0.020244004,0.09670006,0.017744258,0.014186104,0.02679513,0.01937877
