exp_name,top_k,pos_weight_scale,embed_dim,auc_mean,auc_std,f1_mean,recall_mean,precision_mean,accuracy_mean
exp_12_topk_12_pw_1.1_emb_96,12,1.1,96,0.8552185377635471,0.02571690059065947,0.6859177815531469,0.7576923076923077,0.6281412337662338,0.8
exp_10_topk_12_pw_1.0_emb_96,12,1.0,96,0.8416975592461693,0.029738898503141667,0.5909720728729723,0.583599419448476,0.6630499587439478,0.7803278688524589
exp_09_topk_12_pw_1.0_emb_64,12,1.0,64,0.8408840115667136,0.038638160340888794,0.6089947462817212,0.6063860667634252,0.6349701351622388,0.7748633879781421
exp_16_topk_16_pw_1.0_emb_96,16,1.0,96,0.8392552543236687,0.03329265633024374,0.6263911955655381,0.6405660377358491,0.6310883651706296,0.7825136612021859
exp_14_topk_16_pw_0.9_emb_96,16,0.9,96,0.8392356440908941,0.0252755805437794,0.6379567959896325,0.6633526850507983,0.6351035018484867,0.7846994535519125
exp_02_topk_8_pw_0.9_emb_96,8,0.9,96,0.8386118835794768,0.04183456835528505,0.5927805711605643,0.5458635703918723,0.6552983108309047,0.7846994535519125
exp_13_topk_16_pw_0.9_emb_64,16,0.9,64,0.8365899245504604,0.02426401895255164,0.6013443703988645,0.613788098693759,0.6190827249036205,0.7715846994535519
exp_11_topk_12_pw_1.1_emb_64,12,1.1,64,0.8346428610997242,0.024548855337907384,0.6366410101541343,0.6440493468795355,0.6343709924161052,0.7879781420765027
exp_01_topk_8_pw_0.9_emb_64,8,0.9,64,0.8313931020729235,0.019828472461261223,0.5941245927121633,0.590856313497823,0.626297248166489,0.774863387978142
exp_05_topk_8_pw_1.1_emb_64,8,1.1,64,0.8284296302861766,0.027274842878636952,0.640210314740601,0.7387518142235123,0.5686611101911648,0.7584699453551913
exp_18_topk_16_pw_1.1_emb_96,16,1.1,96,0.8278654760190118,0.032689068947583576,0.6277675266236689,0.6820754716981132,0.589270522758895,0.771584699453552
exp_07_topk_12_pw_0.9_emb_64,12,0.9,64,0.8277554592893784,0.03630122474300692,0.6295297222343568,0.6630624092888244,0.6234644229010426,0.7759562841530054
exp_03_topk_8_pw_1.0_emb_64,8,1.0,64,0.8260829390974861,0.035552621679399855,0.6423585702223472,0.6554426705370101,0.6419100623734599,0.7901639344262296
exp_04_topk_8_pw_1.0_emb_96,8,1.0,96,0.8252454602865088,0.033222339027404846,0.6488396162629189,0.719811320754717,0.5953972146536806,0.7748633879781421
exp_08_topk_12_pw_0.9_emb_96,12,0.9,96,0.8183530728237628,0.04502795050569998,0.5862823209078809,0.58388969521045,0.6224235780522145,0.7825136612021859
exp_06_topk_8_pw_1.1_emb_96,8,1.1,96,0.818207602565949,0.055557270668836624,0.6203772663036251,0.6515965166908563,0.5938877788877789,0.7693989071038252
exp_15_topk_16_pw_1.0_emb_64,16,1.0,64,0.8181064492183605,0.04014221034307803,0.6134786142393318,0.602322206095791,0.6316432311316806,0.7792349726775957
exp_17_topk_16_pw_1.1_emb_64,16,1.1,64,0.7903006902358769,0.05577879379590746,0.5749291078288157,0.5871552975326559,0.5809366613678327,0.7551912568306012
