,C_G,C_WBC,C_RBC,C_P,C_N,transparency,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,sex,tube,site,other_inf
C_G,0.028190847,0.07130208,0.035658367,0.05530716,0.050763212,0.043443356,0.109535456,0.044336025,0.032553818,0.053783365,0.030100787,0.027503926,0.047884803,0.02402346,0.033731367,0.11925435,0.020652149,0.05081861,0.07240939,0.048747513
C_WBC,0.02319907,0.07247715,0.05155396,0.038556546,0.031815797,0.06416439,0.05460711,0.12001823,0.03643967,0.029382206,0.06556795,0.030723851,0.025576103,0.054494813,0.06501339,0.03810596,0.04448836,0.089132905,0.023728518,0.040953968
C_RBC,0.044706564,0.033749036,0.124387845,0.023712499,0.033486687,0.02729491,0.060513612,0.076021366,0.075301155,0.041810136,0.039347306,0.048233222,0.022883415,0.079265796,0.058509313,0.042898558,0.047765557,0.056804024,0.034940004,0.028368995
C_P,0.029804915,0.06699281,0.04474946,0.045027494,0.049802095,0.07364984,0.040698085,0.04031288,0.041182,0.028872997,0.04150715,0.0362777,0.04719108,0.09090403,0.03390775,0.048969567,0.03806773,0.10171339,0.057740342,0.042628657
C_N,0.061887164,0.03897885,0.05313188,0.0380098,0.13745417,0.030308453,0.048024103,0.025189511,0.11241349,0.036372244,0.034962166,0.04751614,0.039395116,0.026943035,0.03388528,0.057096172,0.049376756,0.04376942,0.07128268,0.014003557
transparency,0.07226969,0.078755766,0.10081628,0.051149324,0.049367804,0.07941073,0.07526523,0.044555023,0.05628627,0.025342226,0.04390252,0.1031309,0.045915242,0.01775409,0.0329948,0.014316895,0.014555941,0.04470744,0.026806545,0.022697302
GCS,0.05299201,0.051172584,0.031144941,0.039615918,0.115215234,0.032367833,0.050937895,0.1277073,0.056204982,0.017743083,0.035993654,0.02636507,0.0323382,0.05239123,0.03706624,0.0537847,0.02952199,0.0697346,0.060276557,0.027425976
tem,0.056414332,0.026897129,0.028910495,0.062306423,0.032409504,0.027948553,0.08418991,0.039068222,0.05105595,0.03327554,0.019707613,0.03947115,0.04135724,0.06648354,0.044415094,0.15583661,0.021499608,0.04045038,0.102923945,0.025378764
B_G,0.059467256,0.020283677,0.021658525,0.06781502,0.070053056,0.041510962,0.04347559,0.056449465,0.069669396,0.03683092,0.033027016,0.044961642,0.037953753,0.05526183,0.04526837,0.11080147,0.03436301,0.06279526,0.040303204,0.048050504
B_CRP,0.082476065,0.12881649,0.053068202,0.02614006,0.04077987,0.06289949,0.041213688,0.031539116,0.040570676,0.03467394,0.016723173,0.060653735,0.04339062,0.059694044,0.06215059,0.051456183,0.026734546,0.060788717,0.051797614,0.024433171
B_WBC,0.024917264,0.08363747,0.06740232,0.015613993,0.046434127,0.08241466,0.050103195,0.06705574,0.037446015,0.029677087,0.060268637,0.047320925,0.07117981,0.045520198,0.08264408,0.033023525,0.024796372,0.02683303,0.0818277,0.021883857
B_N,0.05717186,0.064864315,0.08184803,0.032290235,0.021679277,0.029274192,0.09199399,0.032437887,0.049513366,0.04094734,0.064615026,0.042716,0.041848708,0.040616155,0.039401006,0.0542769,0.06165361,0.045585215,0.05518,0.052086912
B_Lym,0.06478475,0.066634655,0.030848969,0.044240106,0.04205385,0.030914243,0.061953496,0.01924137,0.04697045,0.06651071,0.038825423,0.04428731,0.071247235,0.08311979,0.06799695,0.039605316,0.068255864,0.03255295,0.03249177,0.047464795
B_PCT,0.04469137,0.039178554,0.074726745,0.017586581,0.020622008,0.06490254,0.04058042,0.13173512,0.031476706,0.027390491,0.11593139,0.042894047,0.023267228,0.061088074,0.06627153,0.04863067,0.038220357,0.016371414,0.046277158,0.04815761
B_AC,0.059853386,0.050210703,0.021744274,0.033993784,0.05261415,0.06523281,0.033110984,0.024219424,0.07718544,0.046116374,0.05148262,0.026118819,0.05947201,0.054182153,0.044954844,0.082203686,0.049661618,0.053075485,0.065598786,0.04896863
B_RBC,0.04071133,0.033734288,0.02991267,0.026447523,0.064346686,0.031056369,0.012613132,0.051839333,0.14835107,0.048073202,0.06672777,0.053955317,0.081412494,0.08583048,0.053312413,0.028778668,0.020457398,0.062939785,0.033762906,0.025737181
sex,0.04162781,0.075502604,0.102264605,0.02123755,0.050757073,0.05097961,0.043666005,0.03139454,0.07305473,0.03488544,0.095631495,0.029889207,0.031808257,0.022616958,0.051075194,0.05903178,0.03379477,0.07804448,0.038106058,0.034631845
tube,0.03424679,0.03378375,0.0357599,0.043996133,0.032528978,0.19374354,0.027248316,0.01278548,0.039202183,0.026550652,0.067154706,0.08399504,0.019009046,0.02424798,0.043515243,0.11219066,0.031128991,0.039962675,0.028616121,0.07033382
site,0.039258786,0.051303077,0.112711005,0.031174816,0.051041804,0.05943156,0.091134466,0.034831062,0.075495295,0.04542501,0.047193967,0.036061216,0.03810944,0.032044448,0.05622144,0.04351497,0.04710637,0.02202851,0.038542755,0.047369972
other_inf,0.019423144,0.06065771,0.08081074,0.05980954,0.03736218,0.09677077,0.07533602,0.020260599,0.03958305,0.04083583,0.06695581,0.03792638,0.046633553,0.053927105,0.032413434,0.03386647,0.025241122,0.073543824,0.07491452,0.023728205
