model,fold,best_epoch,best_val_auc,best_val_score,best_threshold,best_val_mcc_threshold,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mcc,test_accuracy_opt,test_precision_opt,test_recall_opt,test_f1_opt,test_auc_opt,test_mcc_opt
ft_01,1,61,0.869186046511628,0.9342048507326707,0.5300000000000001,0.6622927092863554,0.819672131147541,0.6461538461538462,0.8076923076923077,0.717948717948718,0.87110980622431,0.595715669617946,0.825136612021858,0.6612903225806451,0.7884615384615384,0.7192982456140351,0.87110980622431,0.5985720542739598
ft_01,2,78,0.8600907029478458,0.9098210073046171,0.4,0.5067918159008012,0.7978142076502732,0.6379310344827587,0.6981132075471698,0.6666666666666666,0.8506531204644413,0.5230832776045742,0.7704918032786885,0.5846153846153846,0.7169811320754716,0.6440677966101694,0.8506531204644413,0.48269864009815744
ft_01,3,67,0.8467120181405896,0.896325911976273,0.4700000000000001,0.4961389383568338,0.819672131147541,0.7631578947368421,0.5471698113207547,0.6373626373626373,0.8497822931785195,0.5344490634099117,0.8142076502732241,0.7435897435897436,0.5471698113207547,0.6304347826086957,0.8497822931785195,0.520861011136116
ft_01,4,76,0.8634920634920634,0.9201587301587301,0.4800000000000001,0.5666666666666667,0.8360655737704918,0.7555555555555555,0.6415094339622641,0.6938775510204082,0.8312046444121916,0.5865923409417532,0.825136612021858,0.723404255319149,0.6415094339622641,0.68,0.8312046444121916,0.5622083026331306
ft_01,5,54,0.8299319727891156,0.8786384060074444,0.5400000000000001,0.5208357878583721,0.7868852459016393,0.6842105263157895,0.49056603773584906,0.5714285714285714,0.8274310595065313,0.4453471697530512,0.7868852459016393,0.71875,0.4339622641509434,0.5411764705882353,0.8274310595065313,0.4355313433756316
ft_02,1,80,0.8669499105545617,0.9203152870468131,0.5500000000000002,0.5799663782881495,0.8142076502732241,0.65,0.75,0.6964285714285714,0.8620082207868467,0.5665475048208821,0.8087431693989071,0.6440677966101694,0.7307692307692307,0.6846846846846847,0.8620082207868467,0.5504636280757335
ft_02,2,79,0.86281179138322,0.9168970359071534,0.5800000000000002,0.58160237467535,0.7923497267759563,0.7027027027027027,0.49056603773584906,0.5777777777777777,0.8584905660377359,0.45846434444092443,0.7978142076502732,0.7857142857142857,0.41509433962264153,0.5432098765432098,0.8584905660377359,0.4648588146987766
ft_02,3,1,0.6328798185941042,0.6593241128615015,0.4900000000000001,0.26444294267397256,0.7158469945355191,0.6,0.05660377358490566,0.10344827586206896,0.6904208998548622,0.11468687673562973,0.726775956284153,0.7142857142857143,0.09433962264150944,0.16666666666666666,0.6904208998548622,0.18671703178229238
ft_02,4,2,0.5482993197278911,0.5482993197278911,0.4,0.1308559806475534,0.7049180327868853,0.0,0.0,0.0,0.4117561683599419,-0.04732935267551215,0.7049180327868853,0.0,0.0,0.0,0.4117561683599419,-0.04732935267551215
ft_02,5,77,0.8467120181405895,0.9040199690344886,0.6000000000000002,0.6047315484578638,0.8032786885245902,0.673469387755102,0.6226415094339622,0.6470588235294118,0.8518142235123366,0.5117417098080377,0.819672131147541,0.75,0.5660377358490566,0.6451612903225806,0.8518142235123366,0.5368120740992119
