model,fold,best_epoch,best_val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mcc
ft_03,1,3,0.6453488372093024,0.7103825136612022,0.0,0.0,0.0,0.6716089254257194,-0.046701446249430435
ft_03,2,50,0.8596371882086168,0.7978142076502732,0.6481481481481481,0.660377358490566,0.6542056074766355,0.8368650217706821,0.5114106952878565
ft_03,3,35,0.8777777777777778,0.8469945355191257,0.8378378378378378,0.5849056603773585,0.6888888888888889,0.8946298984034834,0.6084446358829859
ft_03,4,1,0.5934240362811792,0.2896174863387978,0.2896174863387978,1.0,0.4491525423728814,0.6438316400580552,0.0
ft_03,5,50,0.8256235827664399,0.7704918032786885,0.5846153846153846,0.7169811320754716,0.6440677966101694,0.853701015965167,0.48269864009815744
ft_05,1,50,0.8029964221824687,0.825136612021858,0.7083333333333334,0.6538461538461539,0.68,0.837492660011744,0.5608129427733896
ft_05,2,50,0.8081632653061225,0.7704918032786885,0.6410256410256411,0.4716981132075472,0.5434782608695652,0.7740203193033381,0.403185004916475
ft_05,3,50,0.827437641723356,0.7540983606557377,0.5526315789473685,0.7924528301886793,0.6511627906976745,0.8647314949201742,0.4886921976143684
ft_05,4,50,0.8353741496598639,0.7704918032786885,0.5932203389830508,0.660377358490566,0.625,0.7936139332365747,0.4617027803721148
ft_05,5,3,0.600453514739229,0.7103825136612022,0.5,0.07547169811320754,0.13114754098360656,0.6718432510885342,0.09916926346239993
