,age,C_G,C_WBC,C_RBC,C_P,C_N,transparency,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,sex,tube,site,other_inf,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff
age,0.0,0.0,0.06242925,0.06244234,0.031175079,0.031269617,0.031183928,0.0,0.031185484,0.03138506,0.0626781,0.0,0.062505215,0.09374998,0.031169271,0.062661916,0.09388607,0.0936788,0.062496558,0.062440123,0.03122614,0.03120192,0.0,0.031235138,0.0
C_G,0.024223145,0.0,0.025406703,0.087363735,0.02946619,0.0,0.07307604,0.030364571,0.08403765,0.0,0.0,0.02909674,0.034039743,0.031708337,0.061228827,0.061667316,0.031431902,0.090850785,0.077716924,0.029512843,0.065249905,0.029953817,0.054741822,0.02412565,0.024737379
C_WBC,0.0,0.07025392,0.060860444,0.05994988,0.030952046,0.030419832,0.062943086,0.030043662,0.0,0.03079681,0.06290777,0.0,0.030946355,0.0,0.06137888,0.06346066,0.0,0.030621989,0.03732969,0.0921438,0.06165363,0.061139926,0.06065916,0.061538406,0.0
C_RBC,0.030945236,0.030827362,0.030412203,0.06258157,0.06054864,0.03105261,0.031248527,0.030234,0.03108751,0.03389473,0.030751694,0.030278139,0.0,0.06284478,0.030857854,0.03215995,0.06348282,0.062178455,0.067513555,0.0,0.062388733,0.061561476,0.030826155,0.06136757,0.030956399
C_P,0.0,0.0951931,0.06233583,0.062262315,0.03101909,0.0,0.06276966,0.0,0.0,0.031281073,0.031271234,0.0,0.031425517,0.093697034,0.031059306,0.09390557,0.0,0.062255822,0.062438726,0.0,0.062204488,0.062407393,0.0622183,0.062255524,0.0
C_N,0.0,0.06267834,0.031083584,0.0,0.09280202,0.061693385,0.0,0.0,0.0,0.09601564,0.031308446,0.0,0.06283059,0.06237048,0.0,0.031604648,0.124767184,0.06252611,0.0,0.0934995,0.062276408,0.06241016,0.0,0.06213352,0.0
transparency,0.0,0.0652044,0.09324741,0.031600628,0.0,0.030845683,0.062084515,0.0,0.060744993,0.0,0.124233775,0.0,0.0,0.0,0.0,0.060885407,0.09207554,0.06284027,0.070133984,0.062446803,0.0,0.0,0.030735318,0.061228413,0.091692865
GCS,0.0,0.095041126,0.031143881,0.062285595,0.0,0.031236116,0.062077165,0.0,0.0,0.031722415,0.09357411,0.0,0.062462687,0.031224295,0.061974015,0.06212389,0.030911073,0.06211388,0.12736997,0.031153962,0.030852772,0.031007018,0.030785002,0.0,0.030941037
tem,0.0,0.031334106,0.031217325,0.031280164,0.03122592,0.062158216,0.03095946,0.031027624,0.062193096,0.06443733,0.0,0.0,0.0,0.06241012,0.093186066,0.062416613,0.09349723,0.031252563,0.032533444,0.06219364,0.062355403,0.0,0.03125431,0.062040694,0.031026661
B_G,0.0,0.06970881,0.06164559,0.062405728,0.028943084,0.030038364,0.0,0.030040344,0.027775347,0.031514436,0.061244026,0.0,0.0,0.032794416,0.029347263,0.09704223,0.06297211,0.0590688,0.07369158,0.030928789,0.06325591,0.058673725,0.029674772,0.059234664,0.0
