,age,C_G,C_WBC,C_RBC,C_P,C_N,transparency,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,sex,tube,site,other_inf,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff
age,0.039980274,0.040338937,0.039821025,0.040099956,0.040001333,0.04000197,0.040075954,0.039947845,0.039996658,0.040302724,0.04009496,0.03993551,0.040115528,0.039822955,0.039927524,0.039770726,0.039842013,0.039872017,0.040445033,0.039884456,0.039867397,0.04002359,0.03993852,0.039901555,0.039991524
C_G,0.03675176,0.06602333,0.032156203,0.042605583,0.037510503,0.037567046,0.040951367,0.035415422,0.037163254,0.059711233,0.042092886,0.035450097,0.043144684,0.03161751,0.034975864,0.030893544,0.031980082,0.032814365,0.08075292,0.0332661,0.032899607,0.038609054,0.034829523,0.033564907,0.03725319
C_WBC,0.04014559,0.034515325,0.04286704,0.03811273,0.039815586,0.039794512,0.038581003,0.040792704,0.0399276,0.035095003,0.038267966,0.040797923,0.03794979,0.043251265,0.040998388,0.044050246,0.042914078,0.04232097,0.033394407,0.041903242,0.042239267,0.039397474,0.041084286,0.041886345,0.03989728
C_RBC,0.039428484,0.046899274,0.037304293,0.04147653,0.03970172,0.03971001,0.040937442,0.038859103,0.039582178,0.045731712,0.04130142,0.038859896,0.041639328,0.037044834,0.038656674,0.036546398,0.037259184,0.03767894,0.049320612,0.03795447,0.037722126,0.040139273,0.03861326,0.03799827,0.039634515
C_P,0.03992166,0.041253272,0.039456975,0.04028734,0.03996191,0.039969195,0.040199924,0.03979987,0.0399415,0.04106367,0.040270757,0.039791863,0.04034618,0.039427873,0.039773595,0.0393019,0.0394834,0.039558988,0.04160556,0.0396296,0.03957761,0.0400561,0.039755214,0.03961094,0.039955113
C_N,0.03990223,0.04166841,0.03926803,0.04042079,0.039973803,0.039978776,0.040319316,0.039756473,0.039943725,0.04144359,0.040415693,0.039720844,0.040495533,0.03918779,0.039700042,0.038992696,0.03924531,0.039378744,0.042096827,0.039480444,0.039387915,0.040149666,0.039637063,0.039472535,0.03996373
transparency,0.039603394,0.045189966,0.037922245,0.041179895,0.039817493,0.039846636,0.040774953,0.039143424,0.03971783,0.0443354,0.041033704,0.039154857,0.04132807,0.037686907,0.038990624,0.037301008,0.03786723,0.038217478,0.04687151,0.038435977,0.038235676,0.040159475,0.038956862,0.03845898,0.03977039
GCS,0.040062606,0.038839787,0.040543783,0.03965124,0.039993268,0.039992776,0.039748225,0.040181037,0.040020566,0.038987115,0.039678965,0.040167544,0.039640803,0.04061998,0.040221963,0.04074562,0.040553387,0.04045044,0.0385372,0.040377464,0.04042508,0.039909963,0.040245388,0.040381227,0.04002453
tem,0.039936323,0.040839013,0.039661575,0.04019205,0.04000329,0.039988406,0.04013012,0.039852656,0.039945863,0.040707186,0.04017808,0.039888274,0.04023269,0.03959897,0.039835993,0.039553214,0.039638255,0.039699733,0.041104496,0.039723795,0.03970183,0.040021416,0.03984894,0.039745864,0.039971996
B_G,0.037555978,0.060479525,0.033565458,0.042498622,0.0382475,0.038288783,0.041136056,0.036393758,0.037912544,0.055881675,0.042038973,0.03644763,0.042963415,0.033109527,0.036018755,0.03248177,0.033419233,0.03414896,0.07078349,0.034552183,0.034214158,0.03912648,0.03595948,0.034789447,0.03798658
B_CRP,0.039453994,0.046566624,0.03743514,0.041411184,0.039734505,0.039735373,0.040915914,0.038936645,0.039606467,0.045448076,0.041243665,0.038911406,0.041550577,0.037187845,0.03873176,0.036699045,0.037370484,0.037779003,0.04880607,0.038062308,0.037852712,0.040129956,0.03866803,0.0381031,0.0396601
B_WBC,0.04005627,0.038723428,0.040611636,0.03960675,0.039995812,0.039982084,0.039725035,0.04018205,0.040016036,0.038878098,0.039633546,0.040198073,0.039587654,0.04068434,0.04024424,0.040862534,0.04060692,0.04051042,0.03839217,0.040430516,0.040498797,0.039891094,0.040257804,0.040422115,0.040002596
B_N,0.039371733,0.047659982,0.0369907,0.04164346,0.039661273,0.039690882,0.041072886,0.038742784,0.03954719,0.046415966,0.041483924,0.038730387,0.041857734,0.03669726,0.038545415,0.036108058,0.036907617,0.037402544,0.05030344,0.037716556,0.037451863,0.040174153,0.038449723,0.037778378,0.0395961
B_Lym,0.040127728,0.034018863,0.043149006,0.037905928,0.039766263,0.039724298,0.03839982,0.040859103,0.039919008,0.03466228,0.03808098,0.04086932,0.037720848,0.04357876,0.041092966,0.044484884,0.043221842,0.04254462,0.032914106,0.04206712,0.042481408,0.039267126,0.04118484,0.04208916,0.03986973
B_PCT,0.04003726,0.039077554,0.04044493,0.039707497,0.039975435,0.039999526,0.03979346,0.04012077,0.04001726,0.03918084,0.03972992,0.040135,0.03968428,0.040514436,0.040177625,0.040643316,0.040449392,0.04036885,0.03886417,0.040319797,0.040365856,0.039922208,0.040185396,0.0403041,0.039981138
B_AC,0.04005048,0.033109494,0.043803405,0.037427623,0.039632544,0.039600786,0.038032133,0.040954646,0.03981657,0.033794355,0.03763585,0.040928368,0.037195314,0.044342164,0.041245073,0.045511186,0.043872487,0.0430416,0.031949412,0.042466104,0.0429377,0.039073188,0.04134361,0.042489577,0.039746292
B_RBC,0.040127378,0.03486641,0.04265237,0.038240235,0.039842635,0.03981265,0.03868286,0.04072571,0.039956752,0.03543085,0.03838479,0.040741093,0.038076162,0.04300038,0.040940106,0.043783125,0.04272754,0.04213966,0.03387393,0.041780155,0.042095203,0.039393004,0.041044366,0.041767772,0.03991491
sex,0.040137943,0.035663977,0.042183045,0.03855701,0.039899256,0.039884984,0.03894381,0.040634494,0.040008917,0.03616638,0.038701065,0.040642124,0.038432714,0.042459358,0.040818654,0.04305932,0.042217378,0.041778192,0.03474908,0.04146385,0.041716427,0.039556842,0.04087704,0.041488882,0.039959237
tube,0.035958916,0.069329806,0.031901814,0.04212597,0.03681865,0.03684366,0.04032527,0.034705557,0.036319662,0.061719034,0.041525815,0.034783795,0.042701017,0.031478614,0.03423768,0.031162523,0.031674054,0.032354288,0.08755827,0.032603987,0.03239094,0.03778514,0.03422211,0.033038344,0.036435112
site,0.040134214,0.036215343,0.04184899,0.038806412,0.039952796,0.039930068,0.03912134,0.04056834,0.040026333,0.036698695,0.038930774,0.040584628,0.03868464,0.042070065,0.040693667,0.04256451,0.041904256,0.041518237,0.03539182,0.041249786,0.041459624,0.039610114,0.040781945,0.04124848,0.040004943
