,age,C_G,C_WBC,C_RBC,C_P,C_N,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff,sex,tube,site,other_inf,transparency
age,0.03998787,0.04007423,0.039856404,0.040081646,0.039976746,0.039995298,0.04000633,0.03998117,0.040069465,0.039985716,0.03998612,0.039923415,0.039994724,0.039971232,0.040019855,0.040124394,0.039970316,0.040032756,0.039951477,0.03997127,0.03992798,0.040043928,0.039967567,0.04009375,0.040006332
C_G,0.039074916,0.032770883,0.04031411,0.037015703,0.038954377,0.038139075,0.040356416,0.03853108,0.05030284,0.03990939,0.03953412,0.03903171,0.046195127,0.039028242,0.035881795,0.043177366,0.039679132,0.039489426,0.042551015,0.040291835,0.039493002,0.0383508,0.0424528,0.040368926,0.03910592
C_WBC,0.040075004,0.04134176,0.03862845,0.039416645,0.039966483,0.039726414,0.039886218,0.03993216,0.04120663,0.04057837,0.04005439,0.0386016,0.040892225,0.04002125,0.03933197,0.041010477,0.039546628,0.040148903,0.039364472,0.039999027,0.039784357,0.040409252,0.039436568,0.04029122,0.040349517
C_RBC,0.039908372,0.041694704,0.039937846,0.039212562,0.03985493,0.040125225,0.03986165,0.040163238,0.04242881,0.039581314,0.039821297,0.039517313,0.039563365,0.040302604,0.041040532,0.038341776,0.03981211,0.03986386,0.03988032,0.040033005,0.040539842,0.04010748,0.039683457,0.039431334,0.03929303
C_P,0.040039282,0.03960891,0.039919764,0.04009139,0.040072594,0.040030416,0.0400011,0.040027678,0.040091462,0.04019189,0.040055968,0.039676633,0.039832834,0.040095203,0.040052317,0.03987346,0.04002596,0.040098216,0.03983381,0.03998771,0.040064998,0.04010871,0.040158987,0.039916284,0.040144414
C_N,0.04000953,0.040689528,0.039853845,0.040255614,0.039912254,0.040066127,0.040042628,0.040026315,0.040460218,0.039955065,0.03999244,0.039792877,0.03951358,0.040122513,0.04078077,0.03950958,0.039761458,0.03997712,0.039864592,0.040062547,0.040086728,0.03987535,0.03994643,0.039841212,0.039601676
GCS,0.040049046,0.039577812,0.040253203,0.040260613,0.04003464,0.040030085,0.04001116,0.040043857,0.04005786,0.04001686,0.040088024,0.039932527,0.039628047,0.040093064,0.04047432,0.039480932,0.040289126,0.040003583,0.040172778,0.040042024,0.040126063,0.039692316,0.03995227,0.03977133,0.03991844
tem,0.04007214,0.039250292,0.040061846,0.040301815,0.040066022,0.040073656,0.04005914,0.040024716,0.039338075,0.04018917,0.040107213,0.039691485,0.039999,0.040041547,0.04019327,0.039965704,0.03997571,0.04015173,0.039972536,0.040073674,0.040065203,0.04006228,0.040293574,0.03984549,0.040124744
B_G,0.039399266,0.042064674,0.04295566,0.042222913,0.039445814,0.040061913,0.039142624,0.03985688,0.040958863,0.042041097,0.03978278,0.040413186,0.033656128,0.04064802,0.0389552,0.039472435,0.042704478,0.039263025,0.04120218,0.03970152,0.042355057,0.036598027,0.04019068,0.037794486,0.039113127
B_CRP,0.039565474,0.04208166,0.040580418,0.03945374,0.039500225,0.039783493,0.040091112,0.03954886,0.042001292,0.03920006,0.039575137,0.040220033,0.039910544,0.039528854,0.03930726,0.04124878,0.039523154,0.039617788,0.040633142,0.039926756,0.03941603,0.039348308,0.04001123,0.040141,0.039785616
B_WBC,0.03998506,0.040095128,0.040008433,0.03995593,0.039999537,0.03999509,0.03999772,0.039971642,0.040023062,0.039941512,0.03998368,0.040103924,0.039978348,0.04000689,0.03995908,0.039982755,0.04001409,0.03996747,0.040056206,0.039998487,0.039975017,0.040010873,0.039998908,0.0399625,0.04002869
B_N,0.039782364,0.04030646,0.03800308,0.038500477,0.039922595,0.039038576,0.03988352,0.039511118,0.043923542,0.038772024,0.039775636,0.039069235,0.044754237,0.039507687,0.04012402,0.040606335,0.03843575,0.03965591,0.038812295,0.039961476,0.04033296,0.040650383,0.040429007,0.039846,0.0403953
B_Lym,0.03989459,0.040357,0.03958349,0.04096907,0.04002629,0.039806053,0.04026092,0.03975037,0.037379175,0.038673602,0.039912414,0.041157402,0.040622864,0.039652247,0.03970567,0.040514648,0.039507896,0.039901957,0.03996322,0.03996906,0.040189832,0.041435827,0.040575646,0.039881818,0.04030897
B_PCT,0.039890207,0.040369216,0.039757945,0.040093567,0.03988049,0.0400904,0.04004148,0.03998159,0.041164897,0.040349618,0.03991676,0.03955827,0.039490264,0.040125214,0.040320747,0.040120944,0.039931796,0.039974857,0.039873317,0.039881214,0.040070694,0.039611306,0.040038355,0.03979048,0.039676372
B_AC,0.03991013,0.043352317,0.039385505,0.04115565,0.039754268,0.040152874,0.03988461,0.03987776,0.042115964,0.041128825,0.039903242,0.038736373,0.038356237,0.040018126,0.039807223,0.039672192,0.03928644,0.040282674,0.040124487,0.039760813,0.03821362,0.03999824,0.039449487,0.03977416,0.039898805
