exp_name,dropout,n_layers,focal_gamma,auc_mean,auc_std,f1_mean,recall_mean,precision_mean,accuracy_mean
exp_22_drop_0.3_layers_2_gamma_1.0,0.3,2,1.0,0.8973769928760567,0.020845030626996018,0.680696070539897,0.571988388969521,0.8463167503883475,0.8459016393442624
exp_27_drop_0.3_layers_3_gamma_3.0,0.3,3,3.0,0.8968389855859249,0.023072569375018514,0.6743515872858921,0.5873730043541364,0.8089875589875589,0.8382513661202186
exp_15_drop_0.2_layers_2_gamma_3.0,0.2,2,3.0,0.8950355089243178,0.02283587093602682,0.7145940987117457,0.6517416545718433,0.7992588594520529,0.8513661202185793
exp_05_drop_0.1_layers_2_gamma_2.0,0.1,2,2.0,0.8946825247343757,0.019023613051433682,0.7063017429088924,0.6783018867924528,0.7476179376179376,0.839344262295082
exp_08_drop_0.1_layers_3_gamma_2.0,0.1,3,2.0,0.8944289212156129,0.03612396359332762,0.686122964898552,0.6404208998548622,0.7626403231044555,0.8306010928961749
exp_11_drop_0.2_layers_1_gamma_2.0,0.2,1,2.0,0.894357681782426,0.026059314580556332,0.6872661189191003,0.6097242380261247,0.7918311928950227,0.8404371584699453
exp_13_drop_0.2_layers_2_gamma_1.0,0.2,2,1.0,0.8943056094129117,0.02342049856471535,0.686670995238201,0.6440493468795355,0.77423317983275,0.8360655737704917
exp_23_drop_0.3_layers_2_gamma_2.0,0.3,2,2.0,0.8930693892021848,0.02504399924717944,0.6882905982905984,0.6248911465892598,0.786656906744746,0.8426229508196723
exp_06_drop_0.1_layers_2_gamma_3.0,0.1,2,3.0,0.8930585315591797,0.02062493345797932,0.7122770615154035,0.6704644412191583,0.7671496598639456,0.8448087431693988
exp_17_drop_0.2_layers_3_gamma_2.0,0.2,3,2.0,0.8929472961145148,0.0217198694427657,0.6669912289057587,0.5984034833091437,0.7725138692396956,0.8306010928961749
exp_18_drop_0.2_layers_3_gamma_3.0,0.2,3,3.0,0.8926766305853157,0.020873933104966363,0.6368580777778895,0.5611756168359942,0.8175112987723825,0.8306010928961751
exp_20_drop_0.3_layers_1_gamma_2.0,0.3,1,2.0,0.8904806168913902,0.023013133915132516,0.6804248366013073,0.5873730043541364,0.816393117872256,0.8426229508196721
exp_14_drop_0.2_layers_2_gamma_2.0,0.2,2,2.0,0.8900948381878815,0.029224785880024903,0.7104387064016575,0.6629172714078375,0.7697058823529412,0.8459016393442624
exp_26_drop_0.3_layers_3_gamma_2.0,0.3,3,2.0,0.8900568364373637,0.019262782402113765,0.7120414205099245,0.6515965166908563,0.7964017765019017,0.8491803278688526
exp_19_drop_0.3_layers_1_gamma_1.0,0.3,1,1.0,0.8897481691576463,0.019376860715609786,0.6819794788082596,0.6063134978229318,0.7975320188086146,0.8404371584699455
exp_04_drop_0.1_layers_2_gamma_1.0,0.1,2,1.0,0.8895963837401256,0.032872386325501504,0.686668150147148,0.6287373004354136,0.7649378788191441,0.8349726775956284
exp_07_drop_0.1_layers_3_gamma_1.0,0.1,3,1.0,0.8894578933956725,0.030190306372713586,0.7122388585003886,0.6745283018867925,0.7672484348755535,0.8415300546448087
exp_24_drop_0.3_layers_2_gamma_3.0,0.3,2,3.0,0.8892584672996598,0.023309821413451746,0.6595649429504596,0.5645863570391872,0.7995290975778782,0.8316939890710382
exp_16_drop_0.2_layers_3_gamma_1.0,0.2,3,1.0,0.8887729755481448,0.020348238057414626,0.6863776093491977,0.6330914368650218,0.7644808743169398,0.833879781420765
exp_02_drop_0.1_layers_1_gamma_2.0,0.1,1,2.0,0.8883171761264805,0.015082769193350094,0.677095108022943,0.6518142235123368,0.7117356327882645,0.8229508196721312
exp_21_drop_0.3_layers_1_gamma_3.0,0.3,1,3.0,0.887776066652633,0.02122470616287188,0.6169639731374919,0.5195210449927432,0.7979526508081939,0.8229508196721312
exp_01_drop_0.1_layers_1_gamma_1.0,0.1,1,1.0,0.8873925037946353,0.026160460324392273,0.7002886606886297,0.6365747460087082,0.7812095073797203,0.8437158469945356
exp_12_drop_0.2_layers_1_gamma_3.0,0.2,1,3.0,0.8873454170775213,0.019816779998482522,0.6942307909833105,0.6173439767779391,0.7961258470030832,0.8437158469945356
exp_03_drop_0.1_layers_1_gamma_3.0,0.1,1,3.0,0.8869887767424854,0.02274441599000944,0.6691433522246334,0.58744557329463,0.7954994160673674,0.8349726775956284
exp_25_drop_0.3_layers_3_gamma_1.0,0.3,3,1.0,0.8868839672498033,0.023955714427575332,0.7150338334804355,0.662844702467344,0.7858571428571428,0.8480874316939889
exp_10_drop_0.2_layers_1_gamma_1.0,0.2,1,1.0,0.8866856490765465,0.025413284969858646,0.6939097802632598,0.6214078374455733,0.791941391941392,0.8426229508196721
exp_09_drop_0.1_layers_3_gamma_3.0,0.1,3,3.0,0.884900231555856,0.022591572034876283,0.683848798260563,0.6478955007256895,0.7393925557047769,0.8295081967213115
