,Age,Temperature,GCS,C_WBC,C_RBC,C_N,C_P,C_G,B_WBC,B_CRP,B_PCT,B_N,B_Lym,B_RBC,Sex,CSF Transparency,Tube,Site
Age,0.07457270529411081,0.02819855684566426,0.08703426720712944,0.0945828847440556,0.018630340176715297,0.08835713902864202,0.09967187709112352,0.09492790289893584,0.028630698645091362,0.09540170143884123,0.09403550768724378,0.03759693227769453,0.02806284190846655,0.031986247263189924,0.024009984582110823,0.0344425673294086,0.02176819749160615,0.018089648089970156
Temperature,0.033207685449470954,0.20581924250258188,0.05043468715995186,0.04384005785730182,0.0599796559630962,0.014789603247106039,0.04500673010900744,0.03927260321288014,0.02747491248812475,0.05523268288118788,0.044145875867654914,0.03474280778301756,0.028449014626914192,0.07467218298386243,0.06931046075660623,0.05605567099406606,0.037877292884365504,0.07968883323280432
GCS,0.10860280795901803,0.021489332608691014,0.12102035175130033,0.07734809622495771,0.030428991112135106,0.09064740524843988,0.09025738103180368,0.09044525492824287,0.014531691706205628,0.10361679785292974,0.08936940091505274,0.013207696507011497,0.031625977626654186,0.02541932468614004,0.0278991724383592,0.01943066295465492,0.021062458974919422,0.023597195473484007
C_WBC,0.10744758740904191,0.029265076634074433,0.10990810053813344,0.08302466658617248,0.0067445143948906515,0.11545092486346469,0.10665028586330706,0.06458381515233523,0.023393467122916574,0.08024854743091805,0.11170311023532305,0.039762631926630695,0.008647289626755112,0.018656861142474307,0.031084047441291795,0.017186551179467918,0.025635866204840985,0.020606656247961534
C_RBC,0.06335616458078898,0.07533868333869823,0.07078187150362449,0.05338808598930232,0.18002040208154144,0.07459715377747529,0.014543539459604016,0.03236765419875086,0.03132088169317566,0.05669766072120826,0.04470144126177717,0.019047488735955777,0.013842836247375853,0.05230725199676548,0.04496939549102143,0.052116468855423335,0.04968694065616025,0.0709160794113512
C_N,0.10461783699235563,0.013279876966164542,0.10545140308224704,0.08447418998176935,0.028697900559689796,0.10556988078901697,0.07426200546332945,0.11675990713434846,0.014819255505726135,0.0755481532430697,0.11060552746367565,0.011450119497914833,0.027893495943838092,0.020619206000961357,0.03304213043512569,0.009156853053326796,0.027596131605777497,0.03615612628166293
C_P,0.08775619989641162,0.021416383366042475,0.10816069103744291,0.07278368357453072,0.03568150990767702,0.10076294519039344,0.10796146331864441,0.07570165088298673,0.011662905575923272,0.10719945648512481,0.08350374214163823,0.029416440346321796,0.03531083750628063,0.04441477742535599,0.022801726373596645,0.0213071636408175,0.021101263069317318,0.013057160261494385
C_G,0.0877332557317724,0.032118140857770004,0.08799919439742156,0.06904514371257664,0.03649101190734221,0.10038063169185875,0.10207441695454539,0.13204113003817572,0.01309700415525022,0.10612650212095916,0.08348404371697811,0.0328291796674711,0.017128722884067894,0.027996180345206224,0.02533784718235444,0.0191942878243792,0.009502811851333387,0.017420494960537596
B_WBC,0.08154663301031301,0.029193411586236128,0.021982344334588098,0.03978766871788921,0.0210952229813659,0.032745164815274036,0.07811030143887468,0.03636053852558824,0.23994754916081973,0.03075086251139537,0.060835211178818786,0.02296486932171306,0.06937402717012131,0.04366121049741071,0.026890092747051543,0.06716205415538265,0.05286635814994936,0.044726479697208166
B_CRP,0.10564057726043308,0.036210864226440966,0.06997584052795362,0.10459080631534003,0.043000300598015004,0.06374408349137778,0.07541515422204503,0.07367574316675807,0.015049208471334105,0.09412626361783843,0.11574166592305828,0.042722554370052325,0.04192814113143608,0.010106332472196979,0.038865623983040866,0.013572116707569583,0.0373202886653682,0.018314434849741323
B_PCT,0.09314614627174797,0.03058532816373532,0.1197694517105178,0.08595405731077205,0.015828086059857135,0.10908200575397374,0.0879692660684305,0.06026686733349924,0.02872676415525464,0.08793140264301556,0.107237631231955,0.02494884966533387,0.022033170154109345,0.025867890152482455,0.028026247525999602,0.023257699649059778,0.036788906222263086,0.01258022992799294
