data_type,fold,model_version,prior_attention,prior_arithmetic,auc,precision,recall,f1,ap,accuracy,mcc,threshold,note
simulated_for_plotting_only,1,原始 AMFormer,×,×,0.875,0.452,0.913,0.614,0.79,0.84991,0.2309999999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,2,原始 AMFormer,×,×,0.8849,0.47675,0.9295,0.63325,0.801,0.856345,0.270688,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,3,原始 AMFormer,×,×,0.8948,0.5015,0.946,0.6525,0.812,0.86278,0.3103759999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,4,原始 AMFormer,×,×,0.9011,0.51725,0.9565,0.6647500000000001,0.8190000000000001,0.866875,0.3356320000000001,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,5,原始 AMFormer,×,×,0.9092,0.5375,0.97,0.6805,0.8280000000000001,0.87214,0.368104,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,1,+PGA-Attention,√,×,0.884,0.567,0.881,0.696,0.8059999999999999,0.8631599999999999,0.3960799999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,2,+PGA-Attention,√,×,0.8939,0.59175,0.8975000000000001,0.7152499999999999,0.817,0.869595,0.4357679999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,3,+PGA-Attention,√,×,0.9038,0.6164999999999999,0.914,0.7344999999999999,0.828,0.87603,0.4754559999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,4,+PGA-Attention,√,×,0.9101,0.63225,0.9245,0.74675,0.835,0.880125,0.500712,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,5,+PGA-Attention,√,×,0.9182,0.6525,0.938,0.7625,0.844,0.8853899999999999,0.5331839999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,1,+PGA-Arithmetic,×,√,0.88,0.5419999999999999,0.894,0.6829999999999999,0.7999999999999999,0.85936,0.3695999999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,2,+PGA-Arithmetic,×,√,0.8899,0.56675,0.9105,0.7022499999999999,0.8109999999999999,0.865795,0.4092879999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,3,+PGA-Arithmetic,×,√,0.8998,0.5914999999999999,0.927,0.7214999999999999,0.822,0.8722300000000001,0.4489759999999998,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,4,+PGA-Arithmetic,×,√,0.9061,0.60725,0.9375,0.73375,0.829,0.876325,0.474232,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,5,+PGA-Arithmetic,×,√,0.9142,0.6275,0.951,0.7494999999999999,0.838,0.88159,0.5067039999999999,0.5,Simulated plotting data only; not real experimental results.
simulated_for_plotting_only,1,完整 PGA-AMFormer,√,√,0.9027,0.6151,0.9406,0.7437977244970111,0.8357,0.8142,0.6405,0.5,Simulated plotting data only; not real experimental results. Full model rows updated to target-like metrics.
simulated_for_plotting_only,2,完整 PGA-AMFormer,√,√,0.9147,0.6311,0.9526,0.7592168466249921,0.8507,0.8242,0.6655,0.5,Simulated plotting data only; not real experimental results. Full model rows updated to target-like metrics.
simulated_for_plotting_only,3,完整 PGA-AMFormer,√,√,0.9217,0.6431,0.9606,0.7704207270686538,0.8607,0.8342,0.6805,0.5,Simulated plotting data only; not real experimental results. Full model rows updated to target-like metrics.
simulated_for_plotting_only,4,完整 PGA-AMFormer,√,√,0.9317,0.6591,0.9706,0.7850800269988341,0.8707,0.8442,0.7005,0.5,Simulated plotting data only; not real experimental results. Full model rows updated to target-like metrics.
simulated_for_plotting_only,5,完整 PGA-AMFormer,√,√,0.9377,0.6671,0.9786,0.7933694598043386,0.8857,0.8542,0.7155,0.5,Simulated plotting data only; not real experimental results. Full model rows updated to target-like metrics.
