model_key,model,fold,n,positive,negative,prevalence,auc,ap,brier
amformer,AMFormer,1,183,52,131,0.28415300546448086,0.8785965942454491,0.7991208666619322,0.16909897442499708
amformer,AMFormer,2,183,53,130,0.2896174863387978,0.9328011611030479,0.8727495012469527,0.11065208264508443
amformer,AMFormer,3,183,53,130,0.2896174863387978,0.9074020319303339,0.8205614851229728,0.13296236626325533
amformer,AMFormer,4,183,53,130,0.2896174863387978,0.8635703918722786,0.7840850209231214,0.14772421053257725
amformer,AMFormer,5,183,53,130,0.2896174863387978,0.8830188679245283,0.773948208189617,0.14763831372243552
logistic,Logistic Regression,1,183,52,131,0.28415300546448086,0.8716970052847917,0.7730838697725425,0.15349525274939627
logistic,Logistic Regression,2,183,53,130,0.2896174863387978,0.8943396226415095,0.8028536095914262,0.1273307199684482
logistic,Logistic Regression,3,183,53,130,0.2896174863387978,0.8941944847605225,0.8056643497349893,0.13404985480063655
logistic,Logistic Regression,4,183,53,130,0.2896174863387978,0.8232220609579101,0.6852978193933428,0.15594308491863712
logistic,Logistic Regression,5,183,53,130,0.2896174863387978,0.8772133526850509,0.7845996527502253,0.13893894930312622
pga_amformer,PGFormer,1,184,53,131,0.28804347826086957,0.963560420567478,0.912639896281946,0.1552578797448306
pga_amformer,PGFormer,2,183,53,130,0.2896174863387978,0.9211901306240929,0.8426226178969174,0.16831105324892523
pga_amformer,PGFormer,3,183,53,130,0.2896174863387978,0.8866473149492018,0.7497555866069449,0.1859362090335631
pga_amformer,PGFormer,4,183,53,130,0.2896174863387978,0.893033381712627,0.8483568554784209,0.17178770003337707
pga_amformer,PGFormer,5,182,52,130,0.2857142857142857,0.8948224852071005,0.7688497114187408,0.1835007856833218
random_forest,Random Forest,1,183,52,131,0.28415300546448086,0.8869641808573107,0.8092487498395754,0.1194045588745063
random_forest,Random Forest,2,183,53,130,0.2896174863387978,0.8875181422351234,0.8098211723715494,0.11754943016859602
random_forest,Random Forest,3,183,53,130,0.2896174863387978,0.8904208998548622,0.8153977572334795,0.12109219770827516
random_forest,Random Forest,4,183,53,130,0.2896174863387978,0.8645863570391872,0.7754248255162312,0.1311461683557185
random_forest,Random Forest,5,183,53,130,0.2896174863387978,0.8708272859216255,0.7616487925593396,0.12987761393742353
xgboost,XGBoost,1,183,52,131,0.28415300546448086,0.8885789782736349,0.8060731276409008,0.13022963924730943
xgboost,XGBoost,2,183,53,130,0.2896174863387978,0.8806966618287374,0.7935463323758581,0.12036946878563387
xgboost,XGBoost,3,183,53,130,0.2896174863387978,0.8825834542815675,0.8012913674219194,0.11987163250103906
xgboost,XGBoost,4,183,53,130,0.2896174863387978,0.8545718432510886,0.7678556384451982,0.1388330627261953
xgboost,XGBoost,5,183,53,130,0.2896174863387978,0.8486211901306241,0.7173896937357197,0.14293063226145844
