model,model_display,subgroup,n,AUC,Precision,Recall,F1,MCC
logistic,LR,Overall,914,0.8707107521041043,0.6261398176291794,0.7832699619771863,0.6959459459459459,0.5605573405613299
logistic,LR,Hemorrhage,431,0.8682475884244372,0.6319444444444444,0.7583333333333333,0.6893939393939394,0.5586803614873433
logistic,LR,Tumor,297,0.8394088669950738,0.6407766990291263,0.7586206896551724,0.6947368421052632,0.5569211255644569
logistic,LR,TBI,168,0.8635477582846003,0.6231884057971014,0.7962962962962963,0.6991869918699187,0.5394216298395212
random_forest,RF,Overall,914,0.8799565453557849,0.7989690721649485,0.5893536121673004,0.6783369803063457,0.586168862490228
random_forest,RF,Hemorrhage,431,0.8782154340836013,0.7865168539325843,0.5833333333333334,0.6698564593301436,0.5782730665600646
random_forest,RF,Tumor,297,0.8392446633825945,0.7627118644067796,0.5172413793103449,0.6164383561643836,0.5139508678374133
random_forest,RF,TBI,168,0.9049707602339181,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.617773689518041
xgboost,XGBoost,Overall,914,0.8709794232914557,0.7254098360655737,0.6730038022813688,0.6982248520710059,0.5834126374196416
xgboost,XGBoost,Hemorrhage,431,0.8647374062165059,0.7168141592920354,0.675,0.6952789699570815,0.5830349929270836
xgboost,XGBoost,Tumor,297,0.8338259441707718,0.6944444444444444,0.5747126436781609,0.6289308176100629,0.4990730323566039
xgboost,XGBoost,TBI,168,0.8898635477582846,0.7547169811320755,0.7407407407407407,0.7476635514018691,0.6298339442022445
gbdt,GBDT,Overall,914,0.8805931792562481,0.7970297029702971,0.6121673003802282,0.6924731182795699,0.5992018541774028
gbdt,GBDT,Hemorrhage,431,0.8765541264737405,0.7888888888888889,0.5916666666666667,0.6761904761904762,0.5850835152493159
gbdt,GBDT,Tumor,297,0.8443897099069513,0.7833333333333333,0.5402298850574713,0.6394557823129252,0.5421789691099373
gbdt,GBDT,TBI,168,0.9039961013645225,0.8409090909090909,0.6851851851851852,0.7551020408163265,0.66258978772776
pga_amformer,PGFormer,Overall,915,0.9132919052273891,0.5466377440347071,0.9545454545454546,0.6951724137931035,0.5740653182713987
pga_amformer,PGFormer,Hemorrhage,432,0.9095625156046272,0.49767441860465117,0.9469026548672567,0.6524390243902439,0.5347307601341744
pga_amformer,PGFormer,Tumor,297,0.901588201928531,0.5342465753424658,0.9512195121951219,0.6842105263157895,0.5677985052326864
pga_amformer,PGFormer,TBI,168,0.9493055555555556,0.5925925925925926,1.0,0.7441860465116279,0.65546138683345
decision_tree,DT,Overall,914,0.8062939145976065,0.5488505747126436,0.7262357414448669,0.6252045826513911,0.4522446424820377
decision_tree,DT,Hemorrhage,431,0.7842309753483387,0.5214723926380368,0.7083333333333334,0.6007067137809188,0.42289124640028475
decision_tree,DT,Tumor,297,0.7946360153256705,0.5514018691588785,0.6781609195402298,0.6082474226804123,0.42620322883391815
decision_tree,DT,TBI,168,0.8386127355425601,0.5970149253731343,0.7407407407407407,0.6611570247933884,0.48061176706830566
amformer,AMformer,Overall,914,0.8767324911075678,0.6288343558282209,0.779467680608365,0.6960950764006791,0.5610022983097095
amformer,AMformer,Hemorrhage,431,0.8615219721329046,0.6056338028169014,0.7166666666666667,0.6564885496183206,0.5117175368230635
amformer,AMformer,Tumor,297,0.8551724137931034,0.5961538461538461,0.7126436781609196,0.6492146596858639,0.48909086979686245
amformer,AMformer,TBI,168,0.8905133203378817,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.5912357143524084
ftformer,FTFormer,Overall,914,0.8640874232680931,0.6980392156862745,0.6768060836501901,0.6872586872586872,0.563766629226595
ftformer,FTFormer,Hemorrhage,431,0.8685423365487674,0.6782608695652174,0.65,0.6638297872340425,0.5381415744854776
ftformer,FTFormer,Tumor,297,0.8158730158730159,0.6973684210526315,0.6091954022988506,0.6503067484662577,0.521135910261193
ftformer,FTFormer,TBI,168,0.8700454840805718,0.75,0.7222222222222222,0.7358490566037735,0.6144065940360002
