model,model_display,fold,subgroup,n,AUC,F1,Sensitivity,Precision,MCC
logistic,Logistic Regression,1,Overall,183,0.8716970052847917,0.6885245901639344,0.8076923076923077,0.6,0.5511887147024472
logistic,Logistic Regression,1,Hemorrhage,81,0.8563492063492063,0.6530612244897959,0.7619047619047619,0.5714285714285714,0.5177630270457588
logistic,Logistic Regression,1,Tumor,63,0.8038548752834467,0.7111111111111111,0.7619047619047619,0.6666666666666666,0.5547001962252291
logistic,Logistic Regression,1,TBI,35,0.8706293706293706,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.45866432210600416
logistic,Logistic Regression,2,Overall,183,0.8943396226415095,0.7333333333333333,0.8301886792452831,0.6567164179104478,0.6150819832518094
logistic,Logistic Regression,2,Hemorrhage,83,0.8837555886736215,0.6923076923076923,0.8181818181818182,0.6,0.5709409989415877
logistic,Logistic Regression,2,Tumor,59,0.8631436314363143,0.717948717948718,0.7777777777777778,0.6666666666666666,0.5837788913131852
logistic,Logistic Regression,2,TBI,30,0.9027777777777778,0.782608695652174,0.75,0.8181818181818182,0.6494998689336408
logistic,Logistic Regression,3,Overall,183,0.8941944847605225,0.6935483870967742,0.8113207547169812,0.6056338028169014,0.5547165820767594
logistic,Logistic Regression,3,Hemorrhage,86,0.9381720430107527,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.6324757715822045
logistic,Logistic Regression,3,Tumor,52,0.8454861111111112,0.631578947368421,0.75,0.5454545454545454,0.4411494016915297
logistic,Logistic Regression,3,TBI,43,0.8694581280788177,0.7272727272727273,0.8571428571428571,0.631578947368421,0.5810246671310171
logistic,Logistic Regression,4,Overall,183,0.8232220609579101,0.6428571428571429,0.6792452830188679,0.6101694915254238,0.48747813388282163
logistic,Logistic Regression,4,Hemorrhage,94,0.836038961038961,0.6545454545454545,0.6428571428571429,0.6666666666666666,0.5119241075755645
logistic,Logistic Regression,4,Tumor,53,0.8040540540540541,0.7096774193548387,0.6875,0.7333333333333333,0.5904672828687922
logistic,Logistic Regression,4,TBI,32,0.7729468599033816,0.5833333333333334,0.7777777777777778,0.4666666666666667,0.38737781366765006
logistic,Logistic Regression,5,Overall,182,0.874852071005917,0.7192982456140351,0.7884615384615384,0.6612903225806451,0.5975869937120146
logistic,Logistic Regression,5,Hemorrhage,87,0.8412903225806452,0.7037037037037037,0.76,0.6551724137931034,0.5747369664856797
logistic,Logistic Regression,5,Tumor,70,0.8761574074074074,0.7027027027027027,0.8125,0.6190476190476191,0.6087617176894111
logistic,Logistic Regression,5,TBI,28,0.9545454545454545,0.75,1.0,0.6,0.7006490497453707
decision_tree,Decision Tree,1,Overall,183,0.8799177921315325,0.6915887850467289,0.7115384615384616,0.6727272727272727,0.5647603084318945
decision_tree,Decision Tree,1,Hemorrhage,81,0.8698412698412699,0.6666666666666666,0.7142857142857143,0.625,0.5415533908932433
decision_tree,Decision Tree,1,Tumor,63,0.8395691609977325,0.717948717948718,0.6666666666666666,0.7777777777777778,0.5962847939999439
decision_tree,Decision Tree,1,TBI,35,0.9108391608391608,0.72,0.6923076923076923,0.75,0.5659258954891203
decision_tree,Decision Tree,2,Overall,183,0.8554426705370102,0.6776859504132231,0.7735849056603774,0.6029411764705882,0.5311782058576927
decision_tree,Decision Tree,2,Hemorrhage,83,0.8643815201192251,0.6415094339622641,0.7727272727272727,0.5483870967741935,0.4956427428512975
decision_tree,Decision Tree,2,Tumor,59,0.8089430894308942,0.6842105263157895,0.7222222222222222,0.65,0.5364372493787322
decision_tree,Decision Tree,2,TBI,30,0.8495370370370371,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.5083042452524145
decision_tree,Decision Tree,3,Overall,183,0.7914368650217708,0.6461538461538462,0.7924528301886793,0.5454545454545454,0.48072572477896064
decision_tree,Decision Tree,3,Hemorrhage,86,0.8098118279569892,0.6666666666666666,0.7916666666666666,0.5757575757575758,0.5219341591436605
decision_tree,Decision Tree,3,Tumor,52,0.8003472222222222,0.6666666666666666,0.8125,0.5652173913043478,0.49690865112501836
decision_tree,Decision Tree,3,TBI,43,0.816502463054187,0.6857142857142857,0.8571428571428571,0.5714285714285714,0.5125886314693656
decision_tree,Decision Tree,4,Overall,183,0.7753265602322206,0.5611510791366906,0.7358490566037735,0.45348837209302323,0.34017832502421996
decision_tree,Decision Tree,4,Hemorrhage,94,0.7034632034632036,0.5277777777777778,0.6785714285714286,0.4318181818181818,0.27475616179713586
decision_tree,Decision Tree,4,Tumor,53,0.8125,0.5581395348837209,0.75,0.4444444444444444,0.31644683619622455
decision_tree,Decision Tree,4,TBI,32,0.7294685990338163,0.45454545454545453,0.5555555555555556,0.38461538461538464,0.1901668471529859
decision_tree,Decision Tree,5,Overall,182,0.758801775147929,0.5614035087719298,0.6153846153846154,0.5161290322580645,0.3666177875533832
decision_tree,Decision Tree,5,Hemorrhage,87,0.7493548387096773,0.5357142857142857,0.6,0.4838709677419355,0.3230986624111136
decision_tree,Decision Tree,5,Tumor,70,0.6325231481481481,0.4,0.4375,0.3684210526315789,0.2032797811358637
decision_tree,Decision Tree,5,TBI,28,0.9734848484848484,0.75,1.0,0.6,0.7006490497453707
random_forest,Random Forest,1,Overall,183,0.8869641808573107,0.7096774193548387,0.6346153846153846,0.8048780487804879,0.620397431357459
random_forest,Random Forest,1,Hemorrhage,81,0.8634920634920635,0.6842105263157895,0.6190476190476191,0.7647058823529411,0.5944420447258212
random_forest,Random Forest,1,Tumor,63,0.846938775510204,0.6857142857142857,0.5714285714285714,0.8571428571428571,0.5939441718716428
random_forest,Random Forest,1,TBI,35,0.8811188811188811,0.6956521739130435,0.6153846153846154,0.8,0.5609681940050744
random_forest,Random Forest,2,Overall,183,0.8875181422351234,0.7422680412371134,0.6792452830188679,0.8181818181818182,0.6556291732793064
random_forest,Random Forest,2,Hemorrhage,83,0.9098360655737705,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.6907600596125186
random_forest,Random Forest,2,Tumor,59,0.7994579945799457,0.6875,0.6111111111111112,0.7857142857142857,0.5822266108537125
random_forest,Random Forest,2,TBI,30,0.8981481481481481,0.7368421052631579,0.5833333333333334,1.0,0.6756639246921763
random_forest,Random Forest,3,Overall,183,0.8904208998548622,0.6521739130434783,0.5660377358490566,0.7692307692307693,0.5502800126910263
random_forest,Random Forest,3,Hemorrhage,86,0.9206989247311828,0.6829268292682927,0.5833333333333334,0.8235294117647058,0.6025076924307745
random_forest,Random Forest,3,Tumor,52,0.8055555555555556,0.6,0.5625,0.6428571428571429,0.44078090117476104
random_forest,Random Forest,3,TBI,43,0.9458128078817734,0.72,0.6428571428571429,0.8181818181818182,0.6163417292242687
random_forest,Random Forest,4,Overall,183,0.8645863570391872,0.6881720430107527,0.6037735849056604,0.8,0.595112732591886
random_forest,Random Forest,4,Hemorrhage,94,0.8322510822510822,0.5777777777777777,0.4642857142857143,0.7647058823529411,0.4796429006887007
random_forest,Random Forest,4,Tumor,53,0.8648648648648648,0.7407407407407407,0.625,0.9090909090909091,0.6768951788771163
random_forest,Random Forest,4,TBI,32,0.8260869565217391,0.625,0.5555555555555556,0.7142857142857143,0.5096447293679518
random_forest,Random Forest,5,Overall,182,0.8687869822485208,0.5853658536585366,0.46153846153846156,0.8,0.5057563382541148
random_forest,Random Forest,5,Hemorrhage,87,0.8690322580645161,0.6341463414634146,0.52,0.8125,0.5508867948957842
random_forest,Random Forest,5,Tumor,70,0.863425925925926,0.2727272727272727,0.1875,0.5,0.19791666666666666
random_forest,Random Forest,5,TBI,28,1.0,0.8,0.6666666666666666,1.0,0.7817359599705717
xgboost,XGBoost,1,Overall,183,0.8885789782736349,0.6990291262135923,0.6923076923076923,0.7058823529411765,0.5812269142001247
xgboost,XGBoost,1,Hemorrhage,81,0.8650793650793651,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.55
xgboost,XGBoost,1,Tumor,63,0.8424036281179138,0.6842105263157895,0.6190476190476191,0.7647058823529411,0.556293911166591
xgboost,XGBoost,1,TBI,35,0.9230769230769231,0.75,0.6923076923076923,0.8181818181818182,0.625955510328977
xgboost,XGBoost,2,Overall,183,0.8806966618287374,0.7307692307692307,0.7169811320754716,0.7450980392156863,0.6241794128783844
xgboost,XGBoost,2,Hemorrhage,83,0.9090909090909091,0.7083333333333334,0.7727272727272727,0.6538461538461539,0.5949241531695284
xgboost,XGBoost,2,Tumor,59,0.8021680216802168,0.6285714285714286,0.6111111111111112,0.6470588235294118,0.4725163420467579
xgboost,XGBoost,2,TBI,30,0.8611111111111112,0.8181818181818182,0.75,0.9,0.7216878364870322
xgboost,XGBoost,3,Overall,183,0.8825834542815675,0.7142857142857143,0.660377358490566,0.7777777777777778,0.614568988946012
xgboost,XGBoost,3,Hemorrhage,86,0.9106182795698925,0.8,0.75,0.8571428571428571,0.732542299453887
