exp,pos_weight_scale,embed_dim,lambda_raw_init,prior_topk,n_layers,auc_mean,auc_std,f1_mean,mcc_mean,best_f1_mean,best_mcc_mean,lambda,rho
3,1.0,96,-0.5,3,2,0.8952327191748191,0.023357845466397104,0.7037910496239995,0.5742888237211281,0.5850659905082887,0.41013348971101465,0.7369633257389069,0.4956659138202667
7,1.0,96,0.0,2,2,0.8941822976102106,0.024803890069365047,0.701541439137347,0.5730993494010711,0.613562538054852,0.4509560163045806,0.955017215013504,0.49773517847061155
11,1.0,96,0.0,5,2,0.8939594943440545,0.022160252268715767,0.6973534535431601,0.5695692515457166,0.6498471312757365,0.501567224752357,0.9414966464042663,0.4935494661331177
13,1.0,96,0.5,2,2,0.8930352651813116,0.019821677077901226,0.7066836085705518,0.5759792986671449,0.6092226039115788,0.4478021995958434,1.1796399235725403,0.4878767192363739
12,1.0,96,0.0,5,3,0.8924300069799134,0.026291163571339773,0.6816032220800776,0.5402473052821708,0.6287947646895016,0.4604206897424364,0.9517437259356181,0.48691597183545426
10,1.0,96,0.0,3,3,0.8923466911886904,0.018003060422815888,0.6834803155913333,0.5425071172182958,0.6369735227982531,0.4918484198344853,0.9647691210110981,0.49003568092981975
6,1.0,96,-0.5,5,3,0.8916750684142303,0.017052387960885512,0.6994283071054105,0.5653948412150877,0.6145674747111043,0.45859248652080725,0.737324337164561,0.4973178068796794
9,1.0,96,0.0,3,2,0.8911495806512371,0.01559142815386604,0.7170248761013855,0.5937347646337423,0.5576317011730811,0.3646905161842586,0.9623215973377228,0.49611825346946714
8,1.0,96,0.0,2,3,0.8909527027775622,0.017749274476544813,0.6992875133015688,0.5673895530154625,0.6079195119116751,0.4422068661327792,0.9575198888778687,0.4942097008228302
14,1.0,96,0.5,2,3,0.8909166952880045,0.01765146000864013,0.7115696542267602,0.589439315223444,0.6470318598010132,0.493910855868275,1.1966458717981974,0.4880497316519419
5,1.0,96,-0.5,5,2,0.8903481093298176,0.02274444790184236,0.699973193722337,0.5710356947143935,0.6294692115256403,0.47450458387928557,0.7246769905090332,0.49673802852630616
15,1.0,96,0.5,3,2,0.8900208289478059,0.01882712108904297,0.6918467763586282,0.5592257148567648,0.6025662442159375,0.4360617026199226,1.1932543516159058,0.486037614941597
1,1.0,96,-0.5,2,2,0.889360506985453,0.020762050055059024,0.7018759726985789,0.5729465014446556,0.6214347264799045,0.4672379536212799,0.7267533719539643,0.49688694179058074
16,1.0,96,0.5,3,3,0.8892339822067605,0.02073770601737926,0.7118283058734847,0.5862204900342833,0.6120101047117589,0.4496466888990753,1.1870538075764974,0.4844046592712402
17,1.0,96,0.5,5,2,0.8885159374688397,0.020889711108473725,0.7145462900467697,0.592819528884936,0.6207853210813982,0.46069681636350934,1.1761029720306397,0.4934504836797714
4,1.0,96,-0.5,3,3,0.8883481979636378,0.025986970767545813,0.6841988994790595,0.5549255446832653,0.5950279861559647,0.42407802518386095,0.7368051489194235,0.4966432948907217
18,1.0,96,0.5,5,3,0.8870412922811022,0.016103073272998206,0.6991023927651677,0.567868760242282,0.5947525998872775,0.42173767247633603,1.2066480000813802,0.48582972288131715
2,1.0,96,-0.5,2,3,0.8849599485923841,0.02011737227786183,0.6940195097911321,0.5573248266675715,0.6392764414516494,0.49021062487681044,0.7332182804743449,0.4976648946603139
