,age,C_G,C_WBC,C_RBC,C_P,C_N,transparency,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,sex,tube,site,other_inf,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff
age,0.058107443,0.042363435,0.055631384,0.1850538,0.09167485,0.026661776,0.017622631,0.032854788,0.033316772,0.015601622,0.038817286,0.029119503,0.019787246,0.027683822,0.059005365,0.014157174,0.027344111,0.024777848,0.013750735,0.032783035,0.028398402,0.04952953,0.035420656,0.030688483,0.009848333
C_G,0.059998866,0.038647603,0.039192837,0.047260366,0.022946406,0.03508218,0.051123925,0.011854582,0.014408428,0.016869418,0.010075572,0.014015582,0.022224342,0.026543567,0.121077865,0.021900214,0.065783784,0.019197725,0.018569512,0.059474025,0.21110785,0.029107776,0.013231239,0.0174943,0.0128120305
C_WBC,0.017421398,0.2217496,0.023241699,0.016049353,0.015246717,0.022852454,0.023766633,0.041906815,0.014434262,0.043561433,0.069804445,0.017609557,0.025963586,0.017507853,0.012899313,0.08770544,0.03826822,0.032170065,0.01435074,0.04208986,0.02423957,0.020033948,0.012969136,0.076062135,0.06809575
C_RBC,0.04377681,0.024288848,0.0115047,0.052803468,0.01704269,0.27334428,0.017272811,0.013221401,0.04217756,0.016585996,0.0060866377,0.013037498,0.010114353,0.034228884,0.25029567,0.010896048,0.013450218,0.031997424,0.00990167,0.013466899,0.044208836,0.029606847,0.0054697036,0.009825461,0.005395318
C_P,0.05942303,0.027859343,0.023392003,0.0102238245,0.019280177,0.017595684,0.016054321,0.027306473,0.064168036,0.02129086,0.025497442,0.01531075,0.05640219,0.011960173,0.031817034,0.009017982,0.12161107,0.16526103,0.030251577,0.078728124,0.08003807,0.010271788,0.045339495,0.009295089,0.022604406
C_N,0.02642852,0.01944109,0.025434086,0.03389962,0.16175865,0.02330306,0.03207322,0.026811667,0.010225549,0.024926988,0.027746342,0.07210146,0.022854079,0.033049796,0.05349833,0.034051687,0.013569548,0.017029773,0.045640644,0.01324579,0.10190536,0.06921882,0.04460275,0.031383373,0.035799805
transparency,0.049458,0.03965119,0.024118748,0.021032581,0.028407872,0.04007381,0.05600331,0.035263002,0.024217656,0.05097813,0.050296694,0.043098383,0.02451723,0.036135647,0.084796965,0.02439214,0.022298478,0.079056606,0.061065793,0.019471273,0.04003567,0.026943572,0.03181514,0.061170112,0.025702
GCS,0.025960464,0.036950886,0.03929358,0.053580657,0.017920127,0.043916535,0.065087035,0.031191843,0.02566283,0.039014414,0.05818393,0.04167703,0.017740175,0.01842559,0.012766546,0.12388016,0.025627445,0.07629592,0.07387857,0.019054769,0.023171756,0.035494864,0.030479206,0.03575159,0.02899407
tem,0.07343488,0.022577338,0.04164021,0.076764725,0.081828505,0.008826779,0.049031205,0.035755206,0.027517268,0.025349274,0.026931066,0.031011542,0.061287116,0.030720904,0.05169157,0.03344841,0.089530304,0.0279536,0.015995538,0.031601213,0.03012443,0.026563901,0.050169643,0.036368456,0.013876969
B_G,0.023721498,0.036580883,0.0575242,0.19507347,0.01643657,0.03973603,0.030356541,0.042362437,0.035118658,0.0094312,0.061073355,0.038012397,0.013835974,0.037523746,0.040603906,0.0119732395,0.008054854,0.013035774,0.026257172,0.04854171,0.074203774,0.028617546,0.06233625,0.027899167,0.02168964
B_CRP,0.02723695,0.021356843,0.101865806,0.009963724,0.024861703,0.01680839,0.01605732,0.028719667,0.02842746,0.05007769,0.048176184,0.017139833,0.0345719,0.05066164,0.015402934,0.018190585,0.014412878,0.044084713,0.045115583,0.039339088,0.037849486,0.0048142066,0.022757329,0.059541292,0.2225668
B_WBC,0.016405696,0.025803467,0.01996881,0.028386366,0.058787994,0.017792646,0.09090713,0.042790197,0.030039186,0.034115713,0.016785996,0.036202177,0.09165848,0.041502923,0.018590318,0.016465934,0.063678965,0.02289382,0.08379582,0.087649845,0.079983845,0.01697576,0.009410241,0.007936913,0.041471753
B_N,0.030179044,0.0695697,0.082270816,0.12966362,0.03073922,0.013391368,0.051961742,0.050408486,0.018747974,0.026630428,0.04259061,0.033850748,0.06175725,0.006916212,0.05423744,0.011036354,0.027046269,0.018748522,0.01522233,0.042123817,0.027380856,0.036572907,0.06838411,0.039372973,0.0111972205
B_Lym,0.019293891,0.018120361,0.021003015,0.068129964,0.032173436,0.034689184,0.011158159,0.01838744,0.0207601,0.03252517,0.027282143,0.039028645,0.038584642,0.02092838,0.012755677,0.021896262,0.013850719,0.021219276,0.0075350935,0.042123314,0.030574447,0.036991872,0.17259377,0.17347461,0.06492046
B_PCT,0.030231172,0.13537121,0.019277988,0.030591212,0.018700743,0.032447264,0.087068334,0.06137193,0.04573899,0.06613381,0.025173305,0.03825737,0.030900791,0.014916905,0.026531912,0.017437132,0.044304,0.04702591,0.012509987,0.047448274,0.0403442,0.04016873,0.036377713,0.019309707,0.032361437
B_AC,0.010718659,0.03667891,0.00953166,0.057057023,0.04342788,0.17694244,0.014779489,0.014383298,0.102851376,0.035270132,0.006439482,0.03648758,0.00980328,0.036903936,0.034325067,0.027342532,0.021842921,0.046690274,0.020925619,0.013699027,0.12238254,0.0838616,0.008236984,0.005832573,0.023585776
B_RBC,0.04660537,0.014769532,0.05856482,0.02691999,0.055015035,0.040750816,0.013487707,0.020361602,0.019448271,0.016619336,0.064701356,0.043625332,0.037397698,0.054335434,0.02620763,0.028654113,0.02915477,0.029739395,0.021596868,0.05368566,0.038963217,0.054360997,0.08985362,0.052157607,0.06302385
